Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данькевич,Світлана,Васильович,Жіноча,03/05/1957,Дизайнер,село П'ятихатки,"сквер Бузковий 2-й, буд. 502, Довжанськ, 23121",+380 (58) 801-57-11,ukozachenko@example.com
Єфименко,Леонід,Васильович,Чоловіча,17/06/1970,Фольклорист,селище Курахове,"вулиця Моторна, буд. 5 кв. 23, Чорноморськ, 30346",454 50 99,nataliiareva@example.org
Єрмоленко,Леон,Петрович,Чоловіча,22/10/1941,Фольклорист,хутір П'ятихатки,"шосе Хімічний 1-й, буд. 720, Знам'янка, 24112",+380 53 408-76-88,hlibvashchenko-zakharchenko@example.org
Михайличенко,Герман,Петрович,Чоловіча,31/07/2007,Сценарист,місто Камінь-Каширський,"узвіз Крижанівський, буд. 0 кв. 6, Маріуполь, 12147",+380 83 576 70 41,albert74@example.net
Канівець,Павло,Васильович,Чоловіча,02/08/1987,Менеджер,місто Боково-Хрустальне,"проспект Проточний, буд. 76 кв. 819, Черкаси, 84236",008 866-52-14,borys53@example.net
Артимович,Роксолана,Андріївна,Жіноча,26/10/1978,Ді-джей,місто Вижниця,"сквер Шишкіна 2-й, буд. 88 кв. 0, Чортків, 03081",+380 97 417-54-47,unosachenko@example.net
Вітрук,Данило,Іванович,Чоловіча,19/10/2008,Музичний редактор,хутір Дубровиця,"узвіз Павлодарська, буд. 80, Ічня, 11987",061 429 55 01,varvara38@example.net
Тесля,Мирон,Іванович,Чоловіча,02/05/1986,Льотчик,селище Кам'янка-Бузька,"узвіз Умова, буд. 52, Збараж, 89441",+380 (53) 996-22-29,amvrosii88@example.org
Ляшко,Світлана,Іванович,Жіноча,01/12/1952,Інженер,хутір Городенка,"парк Жоліо-Кюрі, буд. 910, Кодима, 69495",+380 76 124-88-52,zubkomariia@example.org
Чередник,Вікторія,Андрійович,Жіноча,22/10/1985,Електротехнік,місто Жмеринка,"провулок Авангардна, буд. 29, Алчевськ, 43843",214-67-47,dpylypenko@example.com
Єрьоменко,Кирило,Іванович,Чоловіча,07/08/1944,Парфюмер,селище Новий Розділ,"сквер Гоголя, буд. 303, Первомайськ, 02948",+380 14 967 74 17,turkaloruslan@example.org
Саєнко,Христина,Андрійович,Жіноча,03/05/2006,Ветеринар,селище Бобринець,"провулок Садовий, буд. 17, Миргород, 92939",042 428-44-26,irynaorobets@example.com
Ісаєнко,Іван,Андрійович,Чоловіча,29/12/2002,Євнух,місто Новогродівка,"сквер Стахановський 4-й, буд. 3 кв. 1, Карлівка, 61416",014 679-07-60,mykhailo02@example.com
Ісаєвич,Єлисей,Василівна,Чоловіча,31/05/2002,Паралегал,хутір Рава-Руська,"проспект Нафтовиків, буд. 7 кв. 57, Глиняни, 95167",462-62-15,olhalupii@example.org
Гавриленко,Василина,Іванівна,Жіноча,31/08/1988,Мікробіолог,хутір Курахове,"сквер Карантинна, буд. 388 кв. 732, Федорівка, 70299",067 984 34 12,roksolana12@example.org
Власюк,Давид,Петрівна,Чоловіча,07/10/1964,Кінорежисер,село Рівне,"узвіз Радісний, буд. 4, Устилуг, 80315",+380 12 391-07-98,vasyl82@example.com
Бевз,Нестор,Олексійович,Чоловіча,14/01/1956,Математик,селище Подільськ,"парк Садова 4-та, буд. 5 кв. 709, Карлівка, 36969",094 428-86-52,shmorhunhalyna@example.org
Рак,Данна,Петрівна,Жіноча,13/06/1998,Ювелір,хутір Новгород-Сіверський,"парк Пересипська 2-га, буд. 3 кв. 6, Первомайський , 30777",+380 01 158-24-49,anzhela78@example.com
Юрчишин,Лілія,Іванівна,Жіноча,30/12/1954,Петрограф,село Рожище,"парк Депутатський, буд. 7, Сімферополь, 62237",+380 48 499 54 97,dprymachenko@example.org
Козаченко,Трохим,Андрійович,Чоловіча,27/03/1983,Кіноактор,місто Токмак,"парк Сергія Ядова, буд. 18 кв. 35, Прип'ять , 53296",080 680 74 22,chabanedyta@example.org
Вітрук,Оксана,Іванович,Жіноча,03/03/1994,Живописець,село Радехів,"шосе Міхновського Миколи, буд. 1 кв. 926, Гайворон, 32348",+380 01 879 51 84,parmenieresko@example.org
Таран,Назар,Іванович,Чоловіча,27/05/2003,Дантист,селище Гірське,"сквер Писарева, буд. 6, Козятин, 05038",+380 23 639-91-15,qiarema@example.org
Гресь,Гаврило,Васильович,Чоловіча,18/02/1988,Прокурор,хутір Вугледар,"узвіз Басейний 6-й, буд. 745, Алушта, 77335",+380 00 486-99-91,stepanizhakevych@example.net
Харченко,Камілла,Васильович,Жіноча,30/01/1952,Письменник,село Красноперекопськ,"сквер Тульська, буд. 705 кв. 4, Тростянець, 58447",+380 29 877-61-65,boleslav53@example.org
Єременко,Леопольд,Олексійович,Чоловіча,24/11/1957,Ветеринар,селище Свалява,"вулиця Хімічний 1-й, буд. 293 кв. 4, Ясинувата, 21539",020 881-52-43,iosypmasliak@example.net
Дробаха,Емілія,Петрович,Жіноча,26/08/1987,Мінералог,хутір Охтирка,"провулок Аеропортівський 1-й, буд. 947 кв. 2, Заставна, 83883",712 71 34,pperebyinis@example.net
Ґоляш,Мирослав,Василівна,Чоловіча,08/04/1957,Петрограф,село Радехів,"узвіз Абрикосовий, буд. 725, Кремінна, 65499",093 420 27 46,shamraiieva@example.org
Забара,Ада,Василівна,Жіноча,09/11/2004,Палеонтолог,місто Ямпіль,"узвіз Севастопольський, буд. 36, Канів, 04388",+380 (75) 631-12-59,arkadiipryimak@example.com
Бабенко,Адам,Андрійович,Чоловіча,26/07/1961,Електрик,селище Пирятин,"шосе Проїзний 3-й, буд. 27 кв. 0, Любомль, 12176",+380 (77) 953-39-06,demydenkoliliia@example.com
Микитюк,Зорян,Петрович,Чоловіча,07/03/1986,Епідеміолог,хутір Бучач,"набережна Амбулаторна, буд. 6 кв. 98, Хмельницький, 12937",651 35 20,kdakhno@example.com
Андрейко,Гліб,Олександрівна,Чоловіча,10/01/1969,Живописець,хутір Світловодськ,"узвіз Світла, буд. 372 кв. 3, Новоселиця, 18727",+380 69 588 60 69,ielysavetashutko@example.net
Павличенко,Олесь,Іванович,Чоловіча,12/11/1969,Євнух,селище Тисмениця,"парк 13-та ст. Великого Фонтану пляж, буд. 51 кв. 7, Сніжне, 29748",204 22 32,pmasliak@example.com
Масляк,Ліза,Андрійович,Жіноча,05/03/1945,Палеонтолог,місто Кривий Ріг,"шосе Перша, буд. 1, Рені, 62549",097 780 93 14,iaryna43@example.com
Конопленко,Панас,Василівна,Чоловіча,17/06/1968,Диригент,селище Попасна,"парк Смоленська, буд. 7, Путивль, 78894",+380 37 336-34-17,oleh84@example.net
Романчук,Тимофій,Василівна,Чоловіча,16/07/1997,Археолог,село Фастів,"проспект Лютнева, буд. 59, Саки , 96988",184 63 66,vladyslaviemets@example.com
Олійник,Світлана,Іванович,Жіноча,11/03/1955,Флорист,село Саки ,"парк Кришталевий, буд. 04, Чоп, 91805",016 754 16 57,kiatseniuk@example.org
Смик,Ліза,Васильович,Жіноча,09/06/1945,Драматург,село Суходільськ,"узвіз Урожайна, буд. 86 кв. 928, Гайсин, 84715",+380 89 568 09 00,leopold40@example.com
Забіла,Федір,Василівна,Чоловіча,30/09/1946,Локсмайстер,місто Коростишів,"провулок Стахановський 4-й, буд. 8 кв. 046, Бобринець, 26952",+380 80 203-48-39,andriiprotsenko@example.com
Дробаха,Ігнат,Олексійович,Чоловіча,02/10/1944,Клоун,хутір Оріхів,"набережна Глухий міст, буд. 81, Кропивницький, 23856",053 36 82,okseniia09@example.org
Іщенко,Одарка,Андріївна,Жіноча,18/12/1951,Геофізик,селище Христинівка,"площа Листяна, буд. 85, Приморськ (Україна), 84262",014 598-23-07,liashkoalbert@example.org
Шморгун,Марʼяна,Василівна,Жіноча,27/03/1949,Інженер,хутір Тараща,"набережна Віцеадмірала Жукова, буд. 65, Біла Церква, 01161",+380 81 374-56-29,panteleimonarkhypenko@example.com
Данькевич,Ірина,Іванович,Жіноча,18/06/1981,Кушнір,хутір Люботин,"площа Азербайджан, буд. 169, Миколаївка , 89484",+380 (86) 321-71-89,bcharnysh@example.net
Романчук,Святослава,Петрівна,Жіноча,04/01/1976,Палеонтолог,селище Сміла,"вулиця Банний, буд. 1, Інкерман, 01461",+380 (13) 453-39-68,chaida@example.net
Туркало,Анжела,Андріївна,Жіноча,27/01/1953,Юрист,селище Ворожба,"вулиця Студентський 1-й, буд. 2 кв. 65, Ізяслав, 25860",512-34-06,tbezborodko@example.org
Швачка,Аліна,Петрівна,Жіноча,21/09/1997,Клоун,хутір Кам'янка-Бузька,"проспект Академіка Векслера, буд. 8, Щастя , 36157",277-60-63,zdotsenko@example.org
Атаманчук,Ярина,Олександрівна,Жіноча,27/05/1999,Різноробочий,селище Городок,"площа Академіка Векслера, буд. 7, Христинівка, 96096",+380 69 567-60-30,tsiutsiurarozaliia@example.org
Слюсар,Оксана,Олександрівна,Жіноча,28/02/1948,Прокурор,селище Шаргород,"узвіз Восьмого Березня Лінія 5-та, буд. 7, Баштанка, 17329",+380 99 944-63-22,stanislav96@example.net
Дробʼязко,Мирон,Петрович,Чоловіча,02/01/1959,Мікробіолог,місто Шостка,"шосе Сільська, буд. 6, Прип'ять , 83315",088 084-62-27,revaanton@example.org
Свириденко,Олена,Андріївна,Жіноча,24/06/1942,Співак,місто Шумськ,"сквер Артезіанська, буд. 3 кв. 664, Вугледар, 91695",+380 10 696-89-79,adam07@example.org
Жук,Амалія,Андріївна,Жіноча,12/09/1952,Журналіст,місто Червоноград,"проспект Водопровідний 2-й, буд. 282 кв. 96, Перечин, 68274",+380 78 133-84-31,veniiamyn37@example.net
Охримович,Віталій,Василівна,Чоловіча,04/06/1969,Хореограф,село Мар'їнка,"набережна Парковий, буд. 803, Токмак, 42374",083 763 64 21,violetta57@example.org
Ковалюк,Христина,Андрійович,Жіноча,15/12/1978,Астронавт,хутір Голубівка,"узвіз Нікітіна, буд. 5, Добромиль, 95532",006 212 21 30,chabanvasyl@example.com
Якимчук,Тетяна,Олексійович,Жіноча,08/04/1994,Складальник,село Коростень,"провулок Сурикова 2-й, буд. 50 кв. 150, Фастів, 99821",069 157-75-40,hlib26@example.org
Гайда,Одарка,Петрович,Жіноча,21/08/1942,Мистецтвознавець,село Боярка,"парк Маринеско узвіз, буд. 8 кв. 0, Івано-Франківськ, 35746",076 054-29-39,afranchuk@example.net
Олійник,Клавдія,Васильович,Жіноча,14/10/2003,Швачка,село Знам'янка,"вулиця Лінія 32-га, буд. 731, Ізяслав, 98158",614 03 88,heorhii12@example.org
Алексюк,Марта,Іванівна,Жіноча,26/11/1947,Співак,місто Тернівка ,"сквер Заводська, буд. 0 кв. 10, Рахів, 74775",518 21 11,okseniia20@example.com
Корпанюк,Анастасія,Іванович,Жіноча,28/04/1990,Реабілітолог,хутір Бердичів,"проспект Маринеско узвіз, буд. 397, Бібрка, 78873",058 14 90,hordiiivasiuk@example.net
Удовенко,Олекса,Олексійович,Чоловіча,02/02/1957,Художник,хутір Буринь,"набережна Виноградна 3-тя, буд. 405 кв. 09, Алмазна, 10858",921 11 25,albina56@example.org
Назаренко,Руслан,Петрівна,Чоловіча,02/02/1967,Астрофізик,хутір Чистякове,"шосе Академіка Ясиновського, буд. 85 кв. 015, Алмазна, 79397",+380 85 124 63 70,kostiantynromanenko@example.net
Бабак,Арсен,Олександрівна,Чоловіча,23/03/2007,Медик,селище Ніжин,"проспект Трудова, буд. 2 кв. 0, Баштанка, 67616",+380 29 002-94-41,stetsfeofan@example.com
Журавель,Ірина,Іванович,Жіноча,15/01/1961,Кур'єр,місто Броди,"вулиця Грибоєдова, буд. 753 кв. 568, Прилуки, 29768",+380 26 413 63 76,iosyp88@example.com
Вдовиченко,Владислав,Андрійович,Чоловіча,15/12/1995,Реабілітолог,місто Вуглегірськ,"парк Світла, буд. 6 кв. 5, Ржищів, 21001",+380 37 506-06-37,okhrimenkohryhorii@example.com
Симоненко,Феофан,Олександрівна,Чоловіча,30/04/1962,М'ясник,місто Кременчук,"сквер Зелена балка, буд. 5 кв. 01, Бережани, 11545",714 93 36,zdrozdenko@example.org
Бандура,Святослава,Олександрівна,Жіноча,24/05/1999,Дантист,село Шахтарськ,"сквер Бугаївська, буд. 153, Вугледар, 41876",453-57-63,okovaliuk@example.net
Фаренюк,Розалія,Іванівна,Жіноча,12/05/1995,Провізор,село Львів,"проспект Головна, буд. 8, Тлумач, 79785",+380 (53) 682-73-84,postapchuk@example.com
Хомик,Софія,Андрійович,Жіноча,10/11/1982,Бізнесмен,селище Гадяч,"сквер Комітетська, буд. 2, Коростишів, 99120",+380 47 462-66-46,bavramchuk@example.com
Остапчук,Софія,Василівна,Жіноча,10/03/1999,Етнограф,хутір Соледар,"шосе Бугаївська, буд. 8 кв. 3, Миргород, 58656",034 685 13 32,nalyvaikoerika@example.org
Терещенко,Омелян,Андріївна,Чоловіча,04/02/1966,Кіноактор,місто Кривий Ріг,"шосе Орловська, буд. 672 кв. 2, Кипуче, 11822",797-06-45,boleslav29@example.net
Баранник,Анжела,Олександрівна,Жіноча,08/10/1963,Парфюмер,хутір Докучаєвськ,"набережна Грецька, буд. 24 кв. 614, Баштанка, 95772",011 242-98-58,hieromenko@example.com
Токар,Климент,Олександрівна,Чоловіча,27/08/1987,Шериф,хутір Городенка,"провулок Каманіна, буд. 192 кв. 40, Волноваха, 68482",+380 (19) 131-52-84,ishyian@example.net
Ґерета,Лариса,Іванівна,Жіноча,21/08/1974,Складальник,селище Яремче,"набережна Морський 2-й, буд. 897 кв. 899, Довжанськ, 27730",+380 06 881-12-32,spas48@example.net
Доценко,Остап,Петрович,Чоловіча,30/11/1974,Економіст,хутір Мала Виска,"вулиця Берегова, буд. 400, Очаків, 57207",+380 83 767-22-34,ielyseiasaula@example.net
Адаменко,Любов,Андріївна,Жіноча,19/07/1971,Кухар,хутір Заліщики,"провулок Кишинівська, буд. 2, Інкерман, 29749",+380 54 445-76-51,herman39@example.com
Єфименко,Зорян,Іванович,Чоловіча,14/09/1980,Акушер,хутір Українськ,"проспект Молоді, буд. 24 кв. 08, Маріуполь, 09569",082 593 73 07,antonkharchenko@example.net
Цушко,Ярема,Андрійович,Чоловіча,30/12/1956,Кухар,хутір Карлівка,"набережна Український 1-й, буд. 8, Новомосковськ, 47290",072 010-30-45,poltavetsmykyta@example.com
Тягнибок,Тетяна,Петрович,Жіноча,11/06/1972,Євнух,хутір Стрий,"парк Ананьївська, буд. 699, Шаргород, 63426",078 253-90-71,liudmyla97@example.org
Цимбал,Анжела,Олександрівна,Жіноча,19/12/1981,Музикант,хутір Миколаїв,"площа Крутоярська, буд. 711, Винники, 97754",+380 41 173-42-93,liliiadeineko@example.net
Безбородько,Зиновій,Петрівна,Чоловіча,17/10/1946,Фотограф,місто Новоукраїнка,"провулок Літературна, буд. 22, Вільногірськ, 24227",069 996 58 98,iakiv13@example.org
Деревʼянко,Наталія,Олександрівна,Жіноча,23/04/1983,Піаніст,село Родинське,"набережна Зелена гірка, буд. 445, Турка, 21230",+380 33 433-89-22,emiliiadanyliuk@example.com
Ковалюк,Леон,Олександрівна,Чоловіча,23/06/1948,Кухар,місто Татарбунари,"вулиця Проїзний 3-й, буд. 338, Белз, 80840",073 630-77-31,datsiukoles@example.net
Яремко,Тимофій,Петрович,Чоловіча,31/10/2006,Програміст,хутір Алчевськ,"узвіз Об'їзна дорога, буд. 9 кв. 594, Синельникове, 22045",+380 07 719-81-50,leslytvynenko@example.net
Данько,Богуслав,Петрович,Чоловіча,17/10/1941,Флорист,селище Горохів,"площа Азербайджан, буд. 569 кв. 3, Калуш, 24025",017 484-19-97,andriilesyk@example.org
Щербань,Едита,Олександрівна,Жіноча,19/10/1972,Громадський діяч,хутір Васильків,"проспект 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 398, Знам'янка, 91998",044-67-54,ihnatandriishyn@example.org
Іваничук,Ірена,Васильович,Жіноча,09/06/1984,Електромонтер,селище Гадяч,"сквер 6-та Суворовська, буд. 136, Алмазна, 59593",+380 (44) 023-24-29,ieremenkoserhii@example.net
Ґжицький,Антон,Василівна,Чоловіча,24/08/1975,Штукатур,село Вознесенськ,"проспект Соціальна, буд. 9, Козятин, 32019",759 21 61,znosachenko@example.net
Артим,Мирон,Петрович,Чоловіча,20/01/1977,Гицель,хутір Ковель,"провулок Хімічний 3-й, буд. 9 кв. 462, Мирноград, 81257",+380 81 614-79-91,mykhailynatymchenko@example.com
Артеменко,Альбіна,Петрівна,Жіноча,10/05/1994,Ювелір,село Новогродівка,"набережна Лиманна, буд. 02, Ромни, 49275",057 847 91 03,fieremenko@example.org
Жук,Давид,Андрійович,Чоловіча,04/08/1980,Економіст,хутір Дубно,"набережна ПшеничнаРадищева, буд. 412, Козятин, 80331",+380 53 213-23-93,aaron15@example.net
Ірванець,Ірена,Васильович,Жіноча,21/01/1999,Публіцист,місто Керч,"набережна Різницький, буд. 27 кв. 0, Немирів, 60578",060 908 81 47,orysia82@example.com
Фастенко,Пармен,Василівна,Чоловіча,23/05/1943,Мінералог,селище Кипуче,"сквер Юннатів 1-й, буд. 11, Ковель, 85054",334-21-68,lperepelytsia@example.net
Ковпак,Георгій,Олександрівна,Чоловіча,11/02/2001,Геофізик,селище Дубно,"проспект Серединський, буд. 3, Рожище, 74789",547 56 00,sderevianko@example.org
Ґоляш,Ірена,Олексійович,Жіноча,19/05/2006,Льотчик,місто Баранівка,"набережна Марсельська, буд. 55 кв. 7, Путивль, 32737",068 170-09-69,ksheremeta@example.com
Романець,Вікторія,Іванівна,Жіноча,09/12/2006,Фізик,місто Соледар,"узвіз Маячний, буд. 48 кв. 3, Конотоп, 91531",070 084 97 19,hnehoda@example.net
Пилипенко,Георгій,Васильович,Чоловіча,21/04/1990,Педагог,хутір Новгород-Сіверський,"сквер Лінія 50-та, буд. 0 кв. 3, Чернівці, 63730",677-81-40,danylovasylechko@example.net
Девдюк,Роксолана,Василівна,Жіноча,05/07/2007,Кушнір,село Чорнобиль,"шосе Кордонна, буд. 4, Географія Вільнянська, 77200",230-68-53,skopenkoleontii@example.com
Данильчук,Клавдія,Іванівна,Жіноча,22/07/1966,Підприємець,селище Бердичів,"парк Пересипська 3-тя, буд. 818 кв. 689, Остер , 92498",+380 90 227 00 57,chornovilvitalii@example.com
Іващенко,Соломія,Олександрівна,Жіноча,07/03/1990,Золотар,хутір Алмазна,"сквер Кленова, буд. 639, Білгород-Дністровський, 32891",083 582 98 55,svitlana10@example.org
Козаченко,Святослава,Андріївна,Жіноча,17/04/1980,Ді-джей,селище Сватове,"провулок Лінія 47-ма, буд. 4 кв. 09, Зіньків, 78886",+380 39 134-44-53,liudmylabevzenko@example.com
Онуфрієнко,Анжела,Васильович,Жіноча,02/04/1953,Різноробочий,село Перемишляни,"парк Спортивний, буд. 939 кв. 5, Рені, 14076",029 386-34-60,baturynetsiefrem@example.org
Щорс,Данна,Петрівна,Жіноча,13/03/1947,Локсмайстер,хутір Рівне,"провулок Прохоровський, буд. 348 кв. 143, Ізяслав, 25989",+380 39 034-90-55,charnyshielysaveta@example.com
Ніколюк,Сніжана,Іванович,Жіноча,05/02/1941,Фотограф,хутір Славутич,"сквер Оборони Ленінграду, буд. 7 кв. 50, Горохів, 38499",093-07-50,demian23@example.org
Гук,Людмила,Васильович,Жіноча,21/10/1995,Швачка,селище Стебник,"узвіз Рішельєвська, буд. 87 кв. 0, Дружківка, 68130",282-17-90,jivasiuk@example.org
Авраменко,Дарина,Андрійович,Жіноча,16/04/1964,Програміст,хутір Бобринець,"сквер Ялинковий, буд. 6, Роздільна, 98657",+380 35 719 82 36,zaverchenko@example.org
Авдєєнко,Едита,Олександрівна,Жіноча,14/08/1996,Стиліст,селище Докучаєвськ,"сквер Лузанівка, буд. 4, Вінниця, 44287",+380 (45) 365-26-17,rakdan@example.com
Хомик,Соломія,Олексійович,Жіноча,28/07/1971,Програміст,хутір Приморськ (Україна),"шосе Аркаса Миколи, буд. 688 кв. 088, Краматорськ, 86077",083 813 07 55,makulenko@example.com
Бабенко,Станіслав,Олексійович,Чоловіча,17/11/1998,Стропальник,селище Кобеляки,"парк Лузанівський 1-й, буд. 97, Борзна, 60774",+380 98 159-55-22,veniiamyn96@example.org
Палій,Гаврило,Іванович,Чоловіча,01/04/1985,Кіноактор,хутір Вишневе ,"шосе Малиновський, буд. 50, Чернігів, 22059",+380 (66) 705-28-88,zhurbaanton@example.org
Стус,Федір,Андрійович,Чоловіча,18/05/1999,Промисловець,село Любомль,"шосе Студентський 3-й, буд. 098 кв. 0, Пустомити, 07479",+380 68 525-64-51,petliuraodarka@example.com
Лазаренко,Софія,Андріївна,Жіноча,24/01/1942,М'ясник,місто Зборів,"набережна Південно-Санаторний, буд. 04, Зборів, 19739",+380 36 251-34-55,ivanvasylechko@example.com
Носенко,Богданна,Василівна,Жіноча,21/01/2001,Нотаріус,хутір Ясинувата,"шосе Шостої 2-й, буд. 2, Южноукраїнськ, 78106",003 846-62-69,taraschalenko@example.org
Чекалюк,Ліза,Василівна,Жіноча,13/09/1961,Правник,селище Городня,"сквер Миколи Вороного, буд. 93 кв. 57, Щолкіне, 06806",699-49-39,davyd47@example.net
Атрощенко,Єлисей,Васильович,Чоловіча,13/02/1991,Графік,хутір Пирятин,"проспект Восьмого березня 2-й, буд. 1 кв. 38, Миргород, 90599",073 470 50 55,baranetsdmytro@example.net
Вітрук,Аарон,Іванівна,Чоловіча,03/03/2001,Електротехнік,місто Вишгород,"провулок Технічний, буд. 20, Жмеринка, 76844",+380 25 135-37-88,mzaika@example.com
Стельмах,Адам,Петрівна,Чоловіча,23/11/1963,Модель,селище Первомайськ,"площа Лінія 38-ма, буд. 5 кв. 8, Самбір, 04338",005 786-26-66,mykhailo42@example.com
Худяк,Владислав,Петрович,Чоловіча,04/05/1963,Агроном,хутір Старокостянтинів,"площа Вапняний 1-й, буд. 606 кв. 6, Кам'янка-Дніпровська, 61858",512-98-24,demydenkomarusia@example.com
Шведченко,Орест,Андрійович,Чоловіча,26/07/1969,Кур'єр,хутір Берислав,"площа Ванцетті, буд. 5 кв. 3, Армянськ, 95955",041 616-96-03,mykhailyna99@example.org
Шинкаренко,Ліза,Іванович,Жіноча,14/01/1963,Стропальник,село Зугрес,"проспект Аеропортівська, буд. 476, Дебальцеве, 17340",+380 81 651-29-13,haidenkoleon@example.net
Кармалюк,Роксолана,Олексійович,Жіноча,28/01/1984,Графік,селище Немирів,"сквер Художника Федорова, буд. 27 кв. 62, Горохів, 27735",001 449-98-59,serhiiandriichuk@example.org
Оліфіренко,Федір,Андріївна,Чоловіча,22/06/1959,Електрослюсар,місто Алупка,"парк Комітетська, буд. 54, Ужгород, 16265",+380 51 154-29-02,lubenetsmyroslav@example.com
Романець,Людмила,Іванович,Жіноча,11/10/1982,Будник,місто Львів,"площа Сибірська, буд. 4, Чернігів, 36947",+380 38 055-01-52,ielyseiizhak@example.net
Онуфрієнко,Анжела,Іванівна,Жіноча,18/10/1960,Фотограф,село Лебедин,"набережна Виноградний, буд. 6 кв. 402, Львів, 35109",+380 (08) 587-84-63,maksym16@example.com
Мамчур,Яків,Петрівна,Чоловіча,07/01/1947,М'ясник,село Дніпро ,"вулиця Каспійський, буд. 11, Овруч, 20968",289 05 45,kabaliuktetiana@example.net
Малишко,Юхим,Андрійович,Чоловіча,16/06/1954,Провізор,селище Кілія,"площа Кавказька, буд. 84 кв. 723, Кремінна, 50599",026 390-11-79,chalyiroman@example.com
Аврамчук,Варфоломій,Петрович,Чоловіча,18/04/1954,Намотувальник,хутір Узин,"парк Плієва, буд. 6, Кагарлик, 91805",+380 (61) 777-46-46,roksolanatytarenko@example.net
Рак,Валентина,Іванович,Жіноча,29/01/1961,Дантист,місто Южне,"набережна Палубна, буд. 43, Іршава, 71179",+380 12 928-66-55,horlyk@example.com
Макаренко,Ярема,Олександрівна,Чоловіча,16/11/1959,Фотограф,місто Дубровиця,"парк Мусіна, буд. 0 кв. 18, Вижниця, 51982",+380 (56) 294-01-50,dartymovych@example.org
Оліфіренко,Єва,Васильович,Жіноча,10/10/1995,Літературознавець,село Новгород-Сіверський,"провулок Савицький, буд. 676, Івано-Франківськ, 71258",078 901 29 18,zaporozhetsboryslav@example.com
Корж,Валентина,Андрійович,Жіноча,13/02/1983,Ювелір,хутір Лохвиця,"набережна Отамана Чепіги, буд. 7 кв. 693, Сіверськ, 44550",087 528-28-54,solomon27@example.org
Байрак,Богданна,Петрович,Жіноча,12/04/1979,Музикант,село Старий Крим,"парк Юннатів 3-й, буд. 483 кв. 9, Татарбунари, 18191",906 99 56,solomon74@example.org
Бездітко,Роксолана,Олександрівна,Жіноча,09/04/1993,Зоолог,хутір Бахмач,"парк Венгера, буд. 71 кв. 4, Шепетівка, 93512",+380 18 470 00 45,alina91@example.com
Єрмоленко,Нестор,Андрійович,Чоловіча,21/07/1938,Астронавт,хутір Гребінка,"проспект Тещин міст, буд. 8 кв. 61, Новоукраїнка, 06352",776 37 81,zorian01@example.com
Чубай,Олег,Василівна,Чоловіча,14/02/1950,Археолог,хутір Маріуполь,"парк Бородінська, буд. 79 кв. 4, Гайворон, 29843",+380 (78) 883-05-76,bohodar21@example.com
Овсієнко,Розалія,Олександрівна,Жіноча,17/07/1961,Географ,хутір Прип'ять ,"вулиця Аеродромна, буд. 13, Білозерське, 65878",+380 51 558-80-83,kostiantyn10@example.com
Тарасенко,Едуард,Іванівна,Чоловіча,11/08/1948,Музикант,село Хмельницький,"набережна Байдарочний, буд. 5, Попасна, 64735",085 156 47 70,hannaiakovenko@example.com
Годунок,Симон,Василівна,Чоловіча,05/11/1965,Візажист,село Київ,"парк Бабеля, буд. 4 кв. 5, Коростишів, 58741",201 77 21,valeriishmorhun@example.net
Даниленко,Варфоломій,Василівна,Чоловіча,19/07/1974,Головний меркшейдер,хутір Молодогвардійськ,"шосе Пантелеймонівська, буд. 019, Бобринець, 84865",086 170-61-37,xartymyshyn@example.net
Вдовенко,Леонтій,Васильович,Чоловіча,19/08/1999,Шериф,село Новоселиця,"сквер Розкидайлівська, буд. 8 кв. 6, Комарно, 16304",+380 57 635 24 18,faverchenko@example.net
Барабаш,Дмитро,Васильович,Чоловіча,02/08/1977,Фольклорист,місто Рені,"площа Квітнева, буд. 707, Тетіїв, 44939",+380 (46) 116-72-59,venhrynovychveniiamyn@example.org
Черненко,Кирило,Олександрівна,Чоловіча,27/01/2002,Скульптор,хутір Снігурівка,"шосе Академіка Вавилова, буд. 99, Малин, 88783",786 77 29,ysymonenko@example.org
Зінченко,Лариса,Васильович,Жіноча,14/04/2005,Редактор,село Білопілля,"провулок Виїзна, буд. 5 кв. 6, Ворожба, 53939",+380 34 313-33-90,tereza85@example.net
Палій,Ольга,Олександрівна,Жіноча,18/09/1945,Гірничий інженер,село Стрий,"узвіз Софії Перовської, буд. 775, Ічня, 31269",+380 (84) 663-91-81,tereza67@example.net
Гречко,Леопольд,Андрійович,Чоловіча,07/09/1955,Бібліотекар,селище Львів,"площа Сумська, буд. 7, Сквира, 39272",+380 59 991-65-59,opanasbabychenko@example.com
Дараган,Камілла,Петрівна,Жіноча,08/04/1968,Електрослюсар,селище Ужгород,"площа Професора Коровицького, буд. 4, Великі Мости, 99960",341 31 16,elahoda@example.net
Гуцуляк,Макар,Андріївна,Чоловіча,03/10/2006,Реабілітолог,місто Шпола,"узвіз Радісна, буд. 69 кв. 8, Горішні Плавні, 80766",+380 85 692-30-46,karmaliukkamilla@example.com
Ґерета,Ярема,Васильович,Чоловіча,19/05/1998,Візажист,селище Кодима,"площа Басейний 2-й, буд. 5 кв. 8, Бурштин , 45134",+380 04 967-94-49,stanislavsemenchenko@example.com
